cost_bps,net_return_diagnostic,sharpe_diagnostic,max_drawdown,turnover,total_cost,asset,model,seed,fold_id
25,0.49545270926547635,3.613354138936765,-0.06908247948899882,3.0,0.0075,SPY,logistic_regression,11,monthly_expanding_02
0,0.6207543255772776,5.967400553303723,0.0,1.0,0.0,SPY,LightGBM,11,monthly_expanding_02
8,0.6200595500628179,5.972233757136487,0.0,1.0,0.0008,SPY,LightGBM,11,monthly_expanding_02
15,0.619451438121605,5.976230064958737,0.0,1.0,0.0015,SPY,LightGBM,11,monthly_expanding_02
25,0.6185824095667032,5.981557196863609,0.0,1.0,0.0025,SPY,LightGBM,11,monthly_expanding_02
0,0.6207543255772776,5.967400553303723,0.0,1.0,0.0,SPY,XGBoost,11,monthly_expanding_02
8,0.6200595500628179,5.972233757136487,0.0,1.0,0.0008,SPY,XGBoost,11,monthly_expanding_02
15,0.619451438121605,5.976230064958737,0.0,1.0,0.0015,SPY,XGBoost,11,monthly_expanding_02
25,0.6185824095667032,5.981557196863609,0.0,1.0,0.0025,SPY,XGBoost,11,monthly_expanding_02
0,0.6207543255772776,5.967400553303723,0.0,1.0,0.0,SPY,CatBoost,11,monthly_expanding_02
8,0.6200595500628179,5.972233757136487,0.0,1.0,0.0008,SPY,CatBoost,11,monthly_expanding_02
15,0.619451438121605,5.976230064958737,0.0,1.0,0.0015,SPY,CatBoost,11,monthly_expanding_02
25,0.6185824095667032,5.981557196863609,0.0,1.0,0.0025,SPY,CatBoost,11,monthly_expanding_02
0,-0.053516737740243014,-0.24658341911302678,-0.20734256828693332,23.0,0.0,SPY,random,17,monthly_expanding_02
8,-0.06340889044149478,-0.30995034774891944,-0.2112294299438967,23.0,0.018400000000000003,SPY,random,17,monthly_expanding_02
15,-0.07199226695667638,-0.3655998197309448,-0.21462000805905412,23.0,0.0345,SPY,random,17,monthly_expanding_02
25,-0.08413814171394585,-0.44535974837523656,-0.21944683990339842,23.0,0.05749999999999999,SPY,random,17,monthly_expanding_02
0,0.6207543255772776,5.967400553303723,0.0,1.0,0.0,SPY,historical_mean,17,monthly_expanding_02
8,0.6200595500628179,5.972233757136487,0.0,1.0,0.0008,SPY,historical_mean,17,monthly_expanding_02
15,0.619451438121605,5.976230064958737,0.0,1.0,0.0015,SPY,historical_mean,17,monthly_expanding_02
25,0.6185824095667032,5.981557196863609,0.0,1.0,0.0025,SPY,historical_mean,17,monthly_expanding_02
0,0.3778965728248618,2.4419191732373755,-0.1137310027890227,9.0,0.0,SPY,random_walk,17,monthly_expanding_02
8,0.37227413795504893,2.401231485063819,-0.1152345032776041,9.0,0.007200000000000001,SPY,random_walk,17,monthly_expanding_02
15,0.3673663717841511,2.3654430214110147,-0.11655006620511232,9.0,0.013500000000000002,SPY,random_walk,17,monthly_expanding_02
25,0.3603744638463513,2.314071069940779,-0.11842944181583881,9.0,0.0225,SPY,random_walk,17,monthly_expanding_02
0,0.6207543255772776,5.967400553303723,0.0,1.0,0.0,SPY,buy_hold,17,monthly_expanding_02
8,0.6200595500628179,5.972233757136487,0.0,1.0,0.0008,SPY,buy_hold,17,monthly_expanding_02
15,0.619451438121605,5.976230064958737,0.0,1.0,0.0015,SPY,buy_hold,17,monthly_expanding_02
25,0.6185824095667032,5.981557196863609,0.0,1.0,0.0025,SPY,buy_hold,17,monthly_expanding_02
0,0.005845484636358256,0.11545791574859586,-0.3495768223582113,3.0,0.0,SPY,momentum,17,monthly_expanding_02
8,0.004483556975082292,0.10739583972573381,-0.35013427765627403,3.0,0.0024000000000000002,SPY,momentum,17,monthly_expanding_02
15,0.003291957972904269,0.10032697578211716,-0.3506220510420789,3.0,0.0045000000000000005,SPY,momentum,17,monthly_expanding_02
25,0.0015898154778672957,0.09020704536686283,-0.35131887016465735,3.0,0.0075,SPY,momentum,17,monthly_expanding_02
0,-0.3995121320763717,-5.967400553303723,-0.5903788093769331,1.0,0.0,SPY,moving_average,17,monthly_expanding_02
8,-0.3998062760897426,-5.962287211001987,-0.5907298815877043,1.0,0.0008,SPY,moving_average,17,monthly_expanding_02
15,-0.40006374081840923,-5.957586242884064,-0.5910370697721292,1.0,0.0015,SPY,moving_average,17,monthly_expanding_02
25,-0.4004316913941931,-5.950508792645659,-0.5914759100355933,1.0,0.0025,SPY,moving_average,17,monthly_expanding_02
