block_length,ci_low,ci_high,circular_shift_p,asset,model,seed,fold_id
40,,,,QQQ,random_walk,17,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,buy_hold,17,monthly_expanding_01
25,,,,QQQ,buy_hold,17,monthly_expanding_01
40,,,,QQQ,buy_hold,17,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,momentum,17,monthly_expanding_01
25,,,,QQQ,momentum,17,monthly_expanding_01
40,,,,QQQ,momentum,17,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,moving_average,17,monthly_expanding_01
25,,,,QQQ,moving_average,17,monthly_expanding_01
40,,,,QQQ,moving_average,17,monthly_expanding_01
20,0.17647058823529413,0.1875,1.0,QQQ,logistic_regression,17,monthly_expanding_01
25,,,,QQQ,logistic_regression,17,monthly_expanding_01
40,,,,QQQ,logistic_regression,17,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,LightGBM,17,monthly_expanding_01
25,,,,QQQ,LightGBM,17,monthly_expanding_01
40,,,,QQQ,LightGBM,17,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,XGBoost,17,monthly_expanding_01
25,,,,QQQ,XGBoost,17,monthly_expanding_01
40,,,,QQQ,XGBoost,17,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,CatBoost,17,monthly_expanding_01
25,,,,QQQ,CatBoost,17,monthly_expanding_01
40,,,,QQQ,CatBoost,17,monthly_expanding_01
20,0.41875,0.45588235294117646,1.0,QQQ,random,23,monthly_expanding_01
25,,,,QQQ,random,23,monthly_expanding_01
40,,,,QQQ,random,23,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,historical_mean,23,monthly_expanding_01
25,,,,QQQ,historical_mean,23,monthly_expanding_01
40,,,,QQQ,historical_mean,23,monthly_expanding_01
20,0.31875,0.33088235294117646,1.0,QQQ,random_walk,23,monthly_expanding_01
25,,,,QQQ,random_walk,23,monthly_expanding_01
40,,,,QQQ,random_walk,23,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,buy_hold,23,monthly_expanding_01
25,,,,QQQ,buy_hold,23,monthly_expanding_01
40,,,,QQQ,buy_hold,23,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,momentum,23,monthly_expanding_01
25,,,,QQQ,momentum,23,monthly_expanding_01
40,,,,QQQ,momentum,23,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,moving_average,23,monthly_expanding_01
25,,,,QQQ,moving_average,23,monthly_expanding_01
40,,,,QQQ,moving_average,23,monthly_expanding_01
20,0.17647058823529413,0.1875,1.0,QQQ,logistic_regression,23,monthly_expanding_01
25,,,,QQQ,logistic_regression,23,monthly_expanding_01
40,,,,QQQ,logistic_regression,23,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,LightGBM,23,monthly_expanding_01
25,,,,QQQ,LightGBM,23,monthly_expanding_01
40,,,,QQQ,LightGBM,23,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,XGBoost,23,monthly_expanding_01
25,,,,QQQ,XGBoost,23,monthly_expanding_01
40,,,,QQQ,XGBoost,23,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,CatBoost,23,monthly_expanding_01
25,,,,QQQ,CatBoost,23,monthly_expanding_01
40,,,,QQQ,CatBoost,23,monthly_expanding_01
20,0.38125,0.5441176470588236,1.0,QQQ,random,42,monthly_expanding_01
