run_id,asset,asset_class,model,feature_ablation,retraining_frequency,hyperparameter_variant,feature_count,feature_hash,balanced_accuracy,net_return_realistic,top_native_importance,shap_status
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,LightGBM,full,monthly_expanding,base,168,2338a5a4d6efca09,0.5,1.2840846575323805,volatility_100:4.0000|volume_obv:4.0000|volume_sma_200:3.0000|volume_sma_em:3.0000|volume_sma_50:2.0000|volatility_100:4.0000|volume_obv:4.0000|volume_sma_200:3.0000|volume_sma_50:2.0000|volume_adi:2.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,LightGBM,full,quarterly_expanding,base,168,2338a5a4d6efca09,0.5,0.03548894222436294,volatility_100:5.0000|volume_sma_200:5.0000|volume_obv:4.0000|volume_sma_50:2.0000|volume_vpt:2.0000|momentum_100_research:5.0000|volume_obv:4.0000|volume_sma_200:3.0000|volume_sma_50:2.0000|volatility_100:2.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,LightGBM,full,monthly_rolling,base,168,2338a5a4d6efca09,0.5,1.2840846575323805,volume_sma_100:7.0000|volatility_100:4.0000|momentum_50_research:4.0000|ema_5:2.0000|volatility_bbl:2.0000|volume_sma_100:5.0000|volume_adi:4.0000|volatility_dcm:4.0000|trend_macd_signal:4.0000|momentum_100_research:4.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,LightGBM,full,monthly_expanding,shallow_regularized,168,2338a5a4d6efca09,0.5,1.2840846575323805,volatility_100:3.0000|volume_sma_200:2.0000|adj_close:1.0000|day_of_month:1.0000|volume_obv:1.0000|volume_adi:3.0000|volume_sma_200:2.0000|volume_obv:2.0000|return_1d:1.0000|volatility_100:1.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,LightGBM,full,monthly_expanding,deeper_neighbor,168,2338a5a4d6efca09,0.5,1.2840846575323805,volume_sma_50:7.0000|volume_obv:7.0000|volatility_10:4.0000|volatility_100:4.0000|volume_sma_200:4.0000|volatility_100:6.0000|volume_sma_50:5.0000|volume_obv:5.0000|volatility_10:4.0000|volume_sma_200:4.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,LightGBM,remove_momentum,monthly_expanding,base,144,b4fa6d5456d97861,0.5,1.2840846575323805,volatility_100:6.0000|volume_sma_200:4.0000|trend_macd:3.0000|adj_close:2.0000|close_lag_1:2.0000|volatility_100:5.0000|volume_sma_200:3.0000|volume_obv:3.0000|volume_adi:2.0000|adj_close:1.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,LightGBM,remove_volatility,monthly_expanding,base,135,e995863ecdfac75e,0.5,1.2840846575323805,volume_obv:5.0000|volume_vpt:5.0000|volume_sma_em:4.0000|volume_sma_100:3.0000|momentum_100_research:3.0000|volume_obv:6.0000|volume_sma_200:4.0000|volume_vpt:3.0000|volume_adi:2.0000|trend_visual_ichimoku_b:2.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,LightGBM,remove_volume,monthly_expanding,base,146,680d6e90e20b5228,0.5,1.2840846575323805,volatility_100:6.0000|adj_close:4.0000|trend_macd_signal:3.0000|momentum_100_research:3.0000|volatility_10:2.0000|volatility_10:5.0000|volatility_100:5.0000|trend_visual_ichimoku_b:4.0000|volatility_200:2.0000|trend_macd_signal:2.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,LightGBM,remove_lagged_returns,monthly_expanding,base,156,59583af45b29711a,0.5,1.2840846575323805,volume_obv:6.0000|volume_sma_50:4.0000|volatility_100:3.0000|volume_sma_200:3.0000|volume_sma_em:3.0000|volatility_100:5.0000|volume_sma_200:3.0000|volume_obv:2.0000|volume_vpt:2.0000|trend_visual_ichimoku_b:2.0000,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,LightGBM,noisy_full,monthly_expanding,base,168,2338a5a4d6efca09,0.5,1.2840846575323805,volume_obv:4.0000|volume_vpt:4.0000|volume_sma_50:3.0000|volume_sma_200:3.0000|volume_cmf:3.0000|volume_sma_200:4.0000|volume_adi:4.0000|volume_obv:3.0000|volume_vpt:3.0000|volume_sma_50:2.0000,not_run_dependency_unavailable
