block_length,ci_low,ci_high,circular_shift_p,asset,model,seed,fold_id
40,0.5,0.5,1.0,SPY,moving_average,23,long_window_02
20,0.3675826446280992,0.6538848770829565,0.47152847152847155,SPY,logistic_regression,23,long_window_02
25,0.3711399695930142,0.651557486631016,0.45454545454545453,SPY,logistic_regression,23,long_window_02
40,0.37497602301790284,0.6,0.34565434565434566,SPY,logistic_regression,23,long_window_02
20,0.5,0.5,1.0,SPY,LightGBM,23,long_window_02
25,0.5,0.5,1.0,SPY,LightGBM,23,long_window_02
40,0.5,0.5,1.0,SPY,LightGBM,23,long_window_02
20,0.5,0.5,1.0,SPY,XGBoost,23,long_window_02
25,0.5,0.5,1.0,SPY,XGBoost,23,long_window_02
40,0.5,0.5,1.0,SPY,XGBoost,23,long_window_02
20,0.15159415190152895,0.5381063988095238,0.9370629370629371,SPY,CatBoost,23,long_window_02
25,0.1555909863945578,0.5330901110444177,0.9430569430569431,SPY,CatBoost,23,long_window_02
40,0.18212110438747875,0.46174683518405246,0.9790209790209791,SPY,CatBoost,23,long_window_02
20,0.4429996871567072,0.6587931034482758,0.34665334665334663,SPY,random,42,long_window_02
25,0.43551939486082936,0.6562666749011857,0.3676323676323676,SPY,random,42,long_window_02
40,0.43759143235009573,0.6127071604018325,0.3086913086913087,SPY,random,42,long_window_02
20,0.5,0.5,1.0,SPY,historical_mean,42,long_window_02
25,0.5,0.5,1.0,SPY,historical_mean,42,long_window_02
40,0.5,0.5,1.0,SPY,historical_mean,42,long_window_02
20,0.4133464318833331,0.5721933489304812,0.7552447552447552,SPY,random_walk,42,long_window_02
25,0.4120322309205053,0.5812247258478399,0.7462537462537463,SPY,random_walk,42,long_window_02
40,0.42497791060291057,0.5810714285714284,0.7162837162837162,SPY,random_walk,42,long_window_02
20,0.5,0.5,1.0,SPY,buy_hold,42,long_window_02
25,0.5,0.5,1.0,SPY,buy_hold,42,long_window_02
40,0.5,0.5,1.0,SPY,buy_hold,42,long_window_02
20,0.23451246467162887,0.5,0.8131868131868132,SPY,momentum,42,long_window_02
25,0.21520634046968318,0.49557522123893805,0.7922077922077922,SPY,momentum,42,long_window_02
40,0.15675057208237986,0.4956896551724138,0.7522477522477522,SPY,momentum,42,long_window_02
20,0.5,0.5,1.0,SPY,moving_average,42,long_window_02
25,0.5,0.5,1.0,SPY,moving_average,42,long_window_02
40,0.5,0.5,1.0,SPY,moving_average,42,long_window_02
20,0.3322578549728174,0.6668531236154187,0.44155844155844154,SPY,logistic_regression,42,long_window_02
25,0.3701777669583989,0.6418858246007239,0.44155844155844154,SPY,logistic_regression,42,long_window_02
40,0.3294396822138111,0.5981496094058234,0.32967032967032966,SPY,logistic_regression,42,long_window_02
20,0.5,0.5,1.0,SPY,LightGBM,42,long_window_02
25,0.5,0.5,1.0,SPY,LightGBM,42,long_window_02
40,0.5,0.5,1.0,SPY,LightGBM,42,long_window_02
20,0.5,0.5,1.0,SPY,XGBoost,42,long_window_02
25,0.5,0.5,1.0,SPY,XGBoost,42,long_window_02
40,0.5,0.5,1.0,SPY,XGBoost,42,long_window_02
20,0.5,0.5,1.0,SPY,CatBoost,42,long_window_02
25,0.5,0.5,1.0,SPY,CatBoost,42,long_window_02
40,0.5,0.5,1.0,SPY,CatBoost,42,long_window_02
20,0.30925161537684737,0.4645470405667219,1.0,QQQ,random,11,long_window_01
25,0.32470708384332925,0.46945075757575755,1.0,QQQ,random,11,long_window_01
40,0.339517625231911,0.47445398705020025,1.0,QQQ,random,11,long_window_01
20,0.5,0.5,1.0,QQQ,historical_mean,11,long_window_01
25,0.5,0.5,1.0,QQQ,historical_mean,11,long_window_01
40,0.5,0.5,1.0,QQQ,historical_mean,11,long_window_01
20,0.373509363726755,0.5400668041606886,0.9760239760239761,QQQ,random_walk,11,long_window_01
25,0.3732109115536082,0.5324408848207476,0.9790209790209791,QQQ,random_walk,11,long_window_01
40,0.3696322070117786,0.540015625,0.98001998001998,QQQ,random_walk,11,long_window_01
20,0.5,0.5,1.0,QQQ,buy_hold,11,long_window_01
25,0.5,0.5,1.0,QQQ,buy_hold,11,long_window_01
40,0.5,0.5,1.0,QQQ,buy_hold,11,long_window_01
20,0.1878745198463508,0.5185946476110409,0.7962037962037962,QQQ,momentum,11,long_window_01
25,0.18196055023325383,0.5269914163641728,0.8101898101898102,QQQ,momentum,11,long_window_01
40,0.21752829546449465,0.4841652947990976,0.7962037962037962,QQQ,momentum,11,long_window_01
20,0.5,0.5,1.0,QQQ,moving_average,11,long_window_01
25,0.5,0.5,1.0,QQQ,moving_average,11,long_window_01
40,0.5,0.5,1.0,QQQ,moving_average,11,long_window_01
20,0.455291002587642,0.7333333333333334,0.004995004995004995,QQQ,logistic_regression,11,long_window_01
25,0.4521658615136876,0.7279476563352614,0.012987012987012988,QQQ,logistic_regression,11,long_window_01
40,0.4094773309538636,0.6976201372997711,0.011988011988011988,QQQ,logistic_regression,11,long_window_01
20,0.5,0.5,1.0,QQQ,LightGBM,11,long_window_01
25,0.5,0.5,1.0,QQQ,LightGBM,11,long_window_01
40,0.5,0.5,1.0,QQQ,LightGBM,11,long_window_01
20,0.5,0.5,1.0,QQQ,XGBoost,11,long_window_01
25,0.5,0.5,1.0,QQQ,XGBoost,11,long_window_01
40,0.5,0.5,1.0,QQQ,XGBoost,11,long_window_01
20,0.3412698412698413,0.7229880795429576,0.5474525474525475,QQQ,CatBoost,11,long_window_01
25,0.34150900364911924,0.7377622950819671,0.5404595404595405,QQQ,CatBoost,11,long_window_01
40,0.31803466386554624,0.747804054054054,0.5474525474525475,QQQ,CatBoost,11,long_window_01
20,0.36115778859494585,0.5393355675645848,0.8921078921078921,QQQ,random,17,long_window_01
25,0.3669555160877287,0.5326171447813306,0.8641358641358642,QQQ,random,17,long_window_01
40,0.366886949140031,0.5185185185185185,0.8611388611388612,QQQ,random,17,long_window_01
20,0.5,0.5,1.0,QQQ,historical_mean,17,long_window_01
25,0.5,0.5,1.0,QQQ,historical_mean,17,long_window_01
40,0.5,0.5,1.0,QQQ,historical_mean,17,long_window_01
20,0.3742176573426574,0.5320518279240536,0.9630369630369631,QQQ,random_walk,17,long_window_01
25,0.3685768303886455,0.537220993955359,0.975024975024975,QQQ,random_walk,17,long_window_01
40,0.37237116989152574,0.5340617481956696,0.98001998001998,QQQ,random_walk,17,long_window_01
20,0.5,0.5,1.0,QQQ,buy_hold,17,long_window_01
25,0.5,0.5,1.0,QQQ,buy_hold,17,long_window_01
40,0.5,0.5,1.0,QQQ,buy_hold,17,long_window_01
20,0.17352804126374843,0.5259775657912068,0.7912087912087912,QQQ,momentum,17,long_window_01
25,0.18678278536389534,0.5286607142857143,0.8271728271728271,QQQ,momentum,17,long_window_01
40,0.2170612636860122,0.47956655225004,0.7742257742257742,QQQ,momentum,17,long_window_01
20,0.5,0.5,1.0,QQQ,moving_average,17,long_window_01
25,0.5,0.5,1.0,QQQ,moving_average,17,long_window_01
40,0.5,0.5,1.0,QQQ,moving_average,17,long_window_01
20,0.4612669993654714,0.7410863095238095,0.01098901098901099,QQQ,logistic_regression,17,long_window_01
25,0.4528184489121989,0.7239476445895522,0.01098901098901099,QQQ,logistic_regression,17,long_window_01
40,0.41321600650299467,0.692860275689223,0.01898101898101898,QQQ,logistic_regression,17,long_window_01
20,0.5,0.5,1.0,QQQ,LightGBM,17,long_window_01
25,0.5,0.5,1.0,QQQ,LightGBM,17,long_window_01
40,0.5,0.5,1.0,QQQ,LightGBM,17,long_window_01
20,0.5,0.5,1.0,QQQ,XGBoost,17,long_window_01
25,0.5,0.5,1.0,QQQ,XGBoost,17,long_window_01
40,0.5,0.5,1.0,QQQ,XGBoost,17,long_window_01
20,0.11616174944908485,0.46421550979262677,1.0,QQQ,CatBoost,17,long_window_01
25,0.1187628636855778,0.4652270143848301,1.0,QQQ,CatBoost,17,long_window_01
40,0.18373035024820739,0.41816818557889984,1.0,QQQ,CatBoost,17,long_window_01
20,0.37471989430981106,0.5231508397932817,0.8981018981018981,QQQ,random,23,long_window_01
25,0.377595674456884,0.5208410483436573,0.9110889110889111,QQQ,random,23,long_window_01
40,0.3696739545951006,0.5377157982666013,0.8901098901098901,QQQ,random,23,long_window_01
20,0.5,0.5,1.0,QQQ,historical_mean,23,long_window_01
25,0.5,0.5,1.0,QQQ,historical_mean,23,long_window_01
40,0.5,0.5,1.0,QQQ,historical_mean,23,long_window_01
20,0.3701067923718993,0.5324458224273549,0.977022977022977,QQQ,random_walk,23,long_window_01
25,0.3743887683381292,0.5339748092584201,0.974025974025974,QQQ,random_walk,23,long_window_01
40,0.3651107569464567,0.5424784659557014,0.981018981018981,QQQ,random_walk,23,long_window_01
20,0.5,0.5,1.0,QQQ,buy_hold,23,long_window_01
25,0.5,0.5,1.0,QQQ,buy_hold,23,long_window_01
40,0.5,0.5,1.0,QQQ,buy_hold,23,long_window_01
20,0.18233382852292018,0.5211386399592631,0.8201798201798202,QQQ,momentum,23,long_window_01
25,0.18763944508009153,0.5119375766545592,0.8251748251748252,QQQ,momentum,23,long_window_01
40,0.211670712605057,0.48887871057513915,0.7942057942057942,QQQ,momentum,23,long_window_01
20,0.5,0.5,1.0,QQQ,moving_average,23,long_window_01
25,0.5,0.5,1.0,QQQ,moving_average,23,long_window_01
40,0.5,0.5,1.0,QQQ,moving_average,23,long_window_01
20,0.4606402681012435,0.7196546443421443,0.006993006993006993,QQQ,logistic_regression,23,long_window_01
25,0.4366596067774936,0.7375417219274978,0.013986013986013986,QQQ,logistic_regression,23,long_window_01
40,0.411423142075316,0.6810402186002995,0.008991008991008992,QQQ,logistic_regression,23,long_window_01
20,0.5,0.5,1.0,QQQ,LightGBM,23,long_window_01
25,0.5,0.5,1.0,QQQ,LightGBM,23,long_window_01
40,0.5,0.5,1.0,QQQ,LightGBM,23,long_window_01
20,0.5,0.5,1.0,QQQ,XGBoost,23,long_window_01
25,0.5,0.5,1.0,QQQ,XGBoost,23,long_window_01
40,0.5,0.5,1.0,QQQ,XGBoost,23,long_window_01
20,0.2732547757475083,0.5800338965611852,0.7012987012987013,QQQ,CatBoost,23,long_window_01
25,0.2764669840465139,0.5596401560944996,0.7212787212787213,QQQ,CatBoost,23,long_window_01
40,0.26664556962025315,0.5439404461279461,0.7162837162837162,QQQ,CatBoost,23,long_window_01
20,0.45702465307496953,0.5833333333333333,0.1978021978021978,QQQ,random,42,long_window_01
25,0.4708222811671088,0.5885295769463114,0.22377622377622378,QQQ,random,42,long_window_01
40,0.48798380976473565,0.607199975949976,0.23476523476523475,QQQ,random,42,long_window_01
20,0.5,0.5,1.0,QQQ,historical_mean,42,long_window_01
25,0.5,0.5,1.0,QQQ,historical_mean,42,long_window_01
40,0.5,0.5,1.0,QQQ,historical_mean,42,long_window_01
20,0.3735036920191999,0.528243710162121,0.977022977022977,QQQ,random_walk,42,long_window_01
25,0.3703003089768385,0.5354161528164264,0.98001998001998,QQQ,random_walk,42,long_window_01
40,0.368953341740227,0.5348866279069768,0.981018981018981,QQQ,random_walk,42,long_window_01
20,0.5,0.5,1.0,QQQ,buy_hold,42,long_window_01
25,0.5,0.5,1.0,QQQ,buy_hold,42,long_window_01
40,0.5,0.5,1.0,QQQ,buy_hold,42,long_window_01
20,0.1797156267224937,0.5261295764178475,0.8201798201798202,QQQ,momentum,42,long_window_01
25,0.18247657186444372,0.5272866419294991,0.8411588411588412,QQQ,momentum,42,long_window_01
40,0.22185434231427179,0.47577651515151514,0.7872127872127872,QQQ,momentum,42,long_window_01
20,0.5,0.5,1.0,QQQ,moving_average,42,long_window_01
25,0.5,0.5,1.0,QQQ,moving_average,42,long_window_01
40,0.5,0.5,1.0,QQQ,moving_average,42,long_window_01
20,0.4529203718276608,0.7410780352173756,0.013986013986013986,QQQ,logistic_regression,42,long_window_01
25,0.43586475268857344,0.7354340867338417,0.01098901098901099,QQQ,logistic_regression,42,long_window_01
40,0.4002493606138107,0.7101564558629776,0.01098901098901099,QQQ,logistic_regression,42,long_window_01
20,0.5,0.5,1.0,QQQ,LightGBM,42,long_window_01
25,0.5,0.5,1.0,QQQ,LightGBM,42,long_window_01
