observations,balanced_accuracy,roc_auc,brier,ece,probability_mean,probability_std,probability_min,probability_max,positive_rate,collapse_flag,asset,asset_class,model,seed,fold_id,dataset_hash,feature_hash
126,0.37662337662337664,0.3517095149748211,0.4251783563369836,0.3955929907975736,0.44549721749934507,0.2992473226702489,0.016877215097497844,0.9988024876324018,0.42063492063492064,False,QQQ,etfs,random,11,long_window_01,74f882f2bacc12776f3a34c790bab7628b2dcd7a1ba2d0e55fa9b31420eb72d2,2338a5a4d6efca09
126,0.5,0.5,0.24147249602788956,0.0617913832199547,0.6729024943310659,1.1102230246251565e-16,0.6729024943310657,0.6729024943310657,1.0,True,QQQ,etfs,historical_mean,11,long_window_01,74f882f2bacc12776f3a34c790bab7628b2dcd7a1ba2d0e55fa9b31420eb72d2,2338a5a4d6efca09
126,0.4397031539888683,0.4397031539888683,0.25646825396825407,0.10317460317460336,0.5079365079365078,0.04936610012725077,0.45,0.55,0.5793650793650794,False,QQQ,etfs,random_walk,11,long_window_01,74f882f2bacc12776f3a34c790bab7628b2dcd7a1ba2d0e55fa9b31420eb72d2,2338a5a4d6efca09
126,0.5,0.5,0.3888888888888889,0.38888888888888884,1.0,0.0,1.0,1.0,1.0,True,QQQ,etfs,buy_hold,11,long_window_01,74f882f2bacc12776f3a34c790bab7628b2dcd7a1ba2d0e55fa9b31420eb72d2,2338a5a4d6efca09
126,0.36178107606679033,0.36178107606679033,0.26281746031746045,0.09841269841269829,0.5126984126984129,0.04836062773518138,0.45,0.55,0.626984126984127,False,QQQ,etfs,momentum,11,long_window_01,74f882f2bacc12776f3a34c790bab7628b2dcd7a1ba2d0e55fa9b31420eb72d2,2338a5a4d6efca09
126,0.5,0.5,0.24138888888888893,0.06111111111111145,0.5499999999999997,3.3306690738754696e-16,0.55,0.55,1.0,True,QQQ,etfs,moving_average,11,long_window_01,74f882f2bacc12776f3a34c790bab7628b2dcd7a1ba2d0e55fa9b31420eb72d2,2338a5a4d6efca09
126,0.5927643784786643,0.6970580439968195,0.306431889571681,0.3007020351707797,0.3104090759403314,0.2096120620101353,0.04278226118022377,0.9305188996888162,0.1746031746031746,False,QQQ,etfs,logistic_regression,11,long_window_01,74f882f2bacc12776f3a34c790bab7628b2dcd7a1ba2d0e55fa9b31420eb72d2,2338a5a4d6efca09
126,0.5,0.672144182348264,0.23475377607441852,0.05088688458499491,0.6619979956961061,0.02691806621609432,0.6261876230457833,0.7096720066802056,1.0,True,QQQ,etfs,LightGBM,11,long_window_01,74f882f2bacc12776f3a34c790bab7628b2dcd7a1ba2d0e55fa9b31420eb72d2,2338a5a4d6efca09
126,0.5,0.4448714550755367,0.24890753844603028,0.09077732099427116,0.7018884321053823,0.021485130224767498,0.6300873160362244,0.7420693039894104,1.0,True,QQQ,etfs,XGBoost,11,long_window_01,74f882f2bacc12776f3a34c790bab7628b2dcd7a1ba2d0e55fa9b31420eb72d2,2338a5a4d6efca09
126,0.5,0.5100715610919693,0.25177218760101594,0.12008808476753868,0.4910230263435725,0.017397128517198202,0.45190238600016647,0.5250137699841291,0.2857142857142857,False,QQQ,etfs,CatBoost,11,long_window_01,74f882f2bacc12776f3a34c790bab7628b2dcd7a1ba2d0e55fa9b31420eb72d2,2338a5a4d6efca09
